L,N,dx,b,sample,delta,pin_height,area,radius,wrap
12.0,48,0.25,0.8,19,0.25,1.05,3.875,2.2638462845343543,0.0
12.0,48,0.25,0.8,20,0.25,1.05,5.9375,2.6100766272276377,0.0
12.0,48,0.25,0.8,21,0.25,1.05,15.25,7.075485849042453,0.0
12.0,48,0.25,0.8,22,0.25,1.05,9.125,4.315669125408017,0.0
12.0,48,0.25,0.8,23,0.25,1.05,4.5,2.2638462845343543,0.0
12.0,48,0.25,0.8,24,0.25,1.05,1.375,1.4577379737113252,0.0
12.0,48,0.25,0.8,25,0.25,1.05,1.625,1.2747548783981961,0.0
12.0,48,0.25,0.8,26,0.25,1.05,10.5625,3.913118960624632,0.0
12.0,48,0.25,0.8,27,0.25,1.05,1.8125,1.4577379737113252,0.0
12.0,48,0.25,0.8,28,0.25,1.05,22.1875,6.324555320336759,0.0
12.0,48,0.25,0.8,29,0.25,1.05,18.8125,5.942432162002357,0.0
12.0,48,0.25,0.8,30,0.25,1.05,4.75,1.9039432764659772,0.0
12.0,48,0.25,0.8,31,0.25,1.05,8.4375,5.618051263561058,0.0
12.0,48,0.25,0.8,32,0.25,1.05,20.375,6.324555320336759,0.0
12.0,48,0.25,0.8,33,0.25,1.05,8.5,4.257346591481601,0.0
12.0,48,0.25,0.8,34,0.25,1.05,6.375,2.7950849718747373,0.0
12.0,48,0.25,0.8,35,0.25,1.05,20.375,6.823672031978091,0.0
12.0,48,0.25,0.8,36,0.25,1.05,17.4375,6.823672031978091,0.0
12.0,48,0.25,0.8,37,0.25,1.05,2.125,1.5811388300841898,0.0
12.0,48,0.25,0.8,38,0.25,1.05,9.25,4.123105625617661,0.0
12.0,48,0.25,0.8,39,0.25,1.05,0.8125,0.7905694150420949,0.0
